formula,predicted_Tc,efermi,band_gap,database_IDs
Y1B2C1,7.3330535888671875,6.08567105,0.0,icsd-41761
Ba2Ca1Cr2Cu1F14,7.274721145629883,1.17086998,0.0,icsd-419545
Er1B4Ru4,7.255401611328125,6.95108072,0.0,icsd-613822
Fe2B1,7.248691558837891,6.65516448,0.0,icsd-613907
Eu1C1O3,7.201091766357422,4.92373906,0.4292999999999995,icsd-109074
Ba1Ni1F6,7.192668914794922,-1.43126685,0.4727,icsd-35396
Ca3Ti3Cr2O12,7.138099670410156,2.42776001,3.0907,pf-28682
Ti3In1C1,7.132419586181641,7.73021871,0.0,icsd-163844
Fe1B2,7.125953674316406,8.29298741,0.5153999999999996,icsd-425310
Y1B7Mo3,7.105722427368164,8.32015848,0.0,icsd-39873
Eu1B2O4,7.1013031005859375,5.0099785,0.2902999999999993,icsd-30546
Cs1Ca1F3,7.071271896362305,-1.72263474,6.9005,icsd-290448
V2Ni3O8,7.0499114990234375,3.28279245,0.0,icsd-93344
Ca1Rh2O4,7.030574798583984,5.05747194,0.5796999999999999,icsd-170597
Ba3Ge2B6O16,7.015239715576172,1.87465826,4.1759,icsd-261403
Nd3Ni1Ge2,6.995025634765625,3.86778929,0.0,pf-19450
B2Mo1,6.955379486083984,8.91057059,0.0,icsd-44451
Li2Ge1O3,6.948589324951172,-0.10069169,3.568,icsd-100403
Ce1B2Ru1,6.938642501831055,8.82171866,0.0,icsd-612853
Zr6C1I14,6.92828369140625,2.80136651,0.7934999999999999,icsd-60915
Ca4Pd1O6,6.92131233215332,2.92705301,1.8227,icsd-88134
Li1Ca1V1F6,6.915765762329102,0.00859792,2.6309,pf-24279
Tb3B7Mo1,6.895513534545898,5.65317936,0.0,pf-25793
Sr2Ni1Te1O6,6.892417907714844,4.33299142,0.0,icsd-155949
Ba1Li1Cr1F6,6.889753341674805,0.94211,2.1413,icsd-6042
Pr1Ni2B2C1,6.879941940307617,6.44016682,0.0,icsd-157582
Nd1Fe4B4,6.863391876220703,5.80867677,0.0,icsd-614066
Tm5Ge3C1,6.853765487670898,3.41081315,0.0,icsd-617978
Pr21Fe8Bi7C12,6.852649688720703,4.77575402,0.0,icsd-260245
Li5Cu2Ge2,6.849878311157227,2.68784182,0.0,pf-28956
Ce3In1C1,6.824176788330078,7.5772221,0.0,icsd-98501
Li1B1,6.810701370239258,3.60295514,0.0,icsd-236957
Ce12C6I17,6.803764343261719,5.34724857,0.0,icsd-409836
Ca1B2C2,6.787595748901367,4.51458841,0.4750999999999994,icsd-88019
Ba2Li1Te1O6,6.784908294677734,2.40352138,0.0,pf-4168
Ba1Li2Mn1V2O8,6.779611587524414,1.37688755,2.7197000000000005,icsd-429825
Dy2Fe1C4,6.77680778503418,4.97777,0.0,icsd-617590
Y1Ni1B4,6.769992828369141,6.50246324,0.0,icsd-615085
Th1B1C1,6.767250061035156,7.14033051,0.0,icsd-2368
Zr5Sn3C1,6.7593231201171875,6.7595044,0.0,pf-39078
Ca1Fe1F5,6.749467849731445,-2.34368277,2.833,icsd-412862
Y6Ni1I10,6.741462707519531,3.8536877,0.4936999999999996,icsd-248711
Li1Eu1Ge2,6.733308792114258,2.62951008,0.0,icsd-601119
Sr1Li2Ti6O14,6.727914810180664,1.69320226,2.8389000000000006,icsd-95908
Y12Mn5C15,6.713680267333984,4.68806044,0.0,pf-5063
Cr1Ni2B1O5,6.701692581176758,4.0602231,2.7366,pf-38640
